customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
b2b6027bc5c5109e529d4dc6358b12c3,259dac757896d24d7702b9acbbff3f3c,8775,mogi das cruzes,SP
879864dab9bc3047522c92c82e1212b8,4c93744516667ad3b8f1fb645a3116a4,89254,jaragua do sul,SC
5aa9e4fdd4dfd20959cad2d772509598,2a46fb94aef5cbeeb850418118cee090,20231,rio de janeiro,RJ
9b8ce803689b3562defaad4613ef426f,7f3a72e8f988c6e735ba118d54f47458,5416,sao paulo,SP
f681356046d9fde60e70c73a18d65ea2,5f102dd37243f152aec3607970aad100,9121,santo andre,SP
6e359a57a91f84095cc64e1b351aef8c,2e6a42a9b5cbb0da62988694f18ee295,4571,sao paulo,SP
e0eea8f69a457b3f1fa246e44c9ebefd,4d221875624017bc47b4d1ce7314a5b7,29311,cachoeiro de itapemirim,ES
b6368ca0f56d4632f44d58ca431487b2,dd992305cba295d997f263dbdf4e8c2e,88104,sao jose,SC
4a0e66fd30684aa1409cd1b66fec77cc,86085586aaa8c5f47ed0b400da64c59d,7176,guarulhos,SP
a3b0fda37bae14cf754877bed475e80c,c9158d089637ab443c78984d20da7fc0,5727,sao paulo,SP
a562ab1e728449e3461829dfe2e36f73,d33eeadf54cb883e79be640f38c32cdc,14860,barrinha,SP
8276de07ef25225d412b8462d73f8664,332cf4e83e16004ba7dca932ce82475b,90010,porto alegre,RS
6810c3dc47f641181fcc7f73275c3d19,7eaa86786b5955ab188db287f4726d79,37720,botelhos,MG
8392e3d4cfeec63f2a8bfea68bf1f91f,fd2d5fdb84e65fa6b54b98b0e2df5645,59655,areia branca,RN
09241c552e9fe2420997a6c535e9d408,44e9a1246448bd68a2e3bf0f1966c57a,4537,sao paulo,SP
f89c1a6b9c966869e441e55bc14acddc,809353196a0456095716566dd226bb48,13569,sao carlos,SP
5f8b4882b5a4ec7bf6d2107e6cd0cf29,694cb45ff29b603ac2acd51016770097,24120,niteroi,RJ
443b534d0d27a8aa9a184d4869bcbe7a,4071d48a2d0d0bf179c06fc42b962e1f,89260,jaragua do sul,SC
1f6ba909178c5b0e523cabcadb617a4c,b1a049b952fdc19b69b2865c29986b9c,4938,sao paulo,SP
560829a36d563e8395cc073071a02bfd,fa7e6f153b7724fda5c1d7cc7b9ae4ec,25850,paraiba do sul,RJ
b80adce6a72fc096b80a540312a24a95,8728c766c84eeda24b3e54fe6e632051,53437,paulista,PE
bf60fa574e188373d3cb331d04aeb4f1,54fccbde5e005f2dbc6ad8d5473c9ac7,8490,sao paulo,SP
66cc929741c3d1d277e05b4540bf9a8c,1bdff446efb5846d0969eaf8978d4342,15015,sao jose do rio preto,SP
e32daa14dfa90eff675034dc7d462cf3,52e57dd9218d99ea21b26f00c9151761,28909,cabo frio,RJ
ab23bc8d29aaf7a3978d8e819817575b,2e61eefc516ee26837d29fd3d76530fa,14600,sao joaquim da barra,SP
f7c5afab273b47ab517e096e0219b932,b6c083700ca8c135ba9f0f132930d4e8,8686,suzano,SP
c67de3b27c091f07a35cd57362cf225e,0567f279c243671842613f581ed3462c,12929,braganca paulista,SP
f0bbb754a5855f669094d5049c09c548,30a7c7292c38ac22477fcb75306ac4ef,78600,barra do garcas,MT
f46e1689a2c6031af912a19a489a6329,87edab6661956d4d2f05e205251cf1a4,9784,sao bernardo do campo,SP
caa060324a30054bae148e4d7ad1da22,05aa2ef3623cdba9ca3e83b91f1eee5c,12970,piracaia,SP
cfde53fd036308dba103823ba561b885,610d3e47ad4921adc40aa9fd6bbeeaa5,12270,jambeiro,SP
4d5110d0a2b5239cb983610da1d18774,629fb99609e4613c746af4eaa455c91a,4427,sao paulo,SP
89056b2877a2be69b4e9c9d7ebc3ae5d,43676e9993577d1991036ea6720213de,65430,vargem grande,MA
9d46b89032f34a48706407829dbb55b5,8dc17b53543ee0ff19970896cfc6c750,79130,rio brilhante,MS
019200fa574c9eda0fbc82c71fcc8fbe,7530369a1ddf13882910895b0559423d,3951,sao paulo,SP
668719742fade470e60fa657269c7784,a43149b43ab4253753f89fb6909d1371,13214,jundiai,SP
b06429ef920fcfdd75713c712c9ee7b7,9316f45a5da8403a5938bd6069b1a4a7,12240,sao jose dos campos,SP
4ad4f929392158a3bb76b3ec02a751b2,25775ec7ac8aff278f093e8614bb3331,13045,campinas,SP
2abea2bf3e5611f7a96f8d24f21a7198,ed62ab8aab76f4d4efc4344ba5ef3a6d,52070,recife,PE
b25c961cb9da931b083a952527eb8956,ce900bc17b3e45ec05956db418d86207,13270,valinhos,SP
5e24c55ef0779a3c578d272ff7c3d4fb,226c621e6babfecac4e9e776382c77aa,97340,sao sepe,RS
7602193faf4a04077a96dbc64e25e571,2c4f12ef543ba44eead3e3a43c229c11,13188,hortolandia,SP
e48f50d453ada5bceb41e239a2dc2065,9d85c39a38a86ed13978803d7560c612,75570,bom jesus,GO
b6349bdae88bc7c85c4aeb0cb604dac8,b5d37c728f9ea12eae24f87212cf90fa,45320,santa ines,BA
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA
265655cf1f2dfd4fc630004d1fe5f3cb,fc0a9229ea43fea6c9f9d79c06761a1e,13185,hortolandia,SP
