timestamp,customer_state,category,price,is_late,review_score
2026-09-23T09:26:12,RJ,health_beauty,79.75,0,5
2026-09-23T09:26:12,MG,sports_leisure,72.49,1,2
2026-09-23T09:26:12,MG,watches_gifts,110.67,0,5
2026-09-23T09:26:12,SC,sports_leisure,21.71,0,3
2026-09-23T09:26:12,MG,health_beauty,107.43,0,4
2026-09-23T09:26:12,SC,furniture_decor,49.36,0,4
2026-09-23T09:26:12,SC,computers_accessories,84.63,0,2
2026-09-23T09:26:12,DF,furniture_decor,47.69,1,2
2026-09-23T09:26:12,RS,watches_gifts,89.83,0,2
2026-09-23T09:26:12,RS,bed_bath_table,29.62,0,2
2026-09-23T09:26:12,RJ,furniture_decor,64.4,0,4
2026-09-23T09:26:12,PR,bed_bath_table,68.84,0,2
2026-09-23T09:26:12,RS,sports_leisure,111.22,0,4
2026-09-23T09:26:12,RJ,computers_accessories,48.83,1,2
2026-09-23T09:26:12,RJ,sports_leisure,93.44,1,1
2026-09-23T09:26:12,BA,bed_bath_table,70.88,0,2
2026-09-23T09:26:12,DF,bed_bath_table,52.29,0,3
2026-09-23T09:26:12,DF,furniture_decor,19.07,0,3
2026-09-23T09:26:12,SP,bed_bath_table,43.76,0,3
2026-09-23T09:26:12,SP,computers_accessories,45.3,0,3
2026-09-23T09:26:12,RJ,watches_gifts,53.68,0,2
2026-09-23T09:26:12,BA,sports_leisure,72.91,1,2
2026-09-23T09:26:12,RJ,health_beauty,77.07,0,2
2026-09-23T09:26:12,MG,bed_bath_table,98.4,1,1
2026-09-23T09:26:12,ES,bed_bath_table,68.12,0,4
2026-09-23T09:26:12,RS,computers_accessories,58.74,0,2
2026-09-23T09:26:12,PR,furniture_decor,82.18,0,3
2026-09-23T09:26:12,RS,bed_bath_table,117.19,1,2
2026-09-23T09:26:12,MG,furniture_decor,21.37,0,3
2026-09-23T09:26:12,SP,computers_accessories,88.73,0,2
2026-09-23T09:26:12,RS,bed_bath_table,76.28,0,3
2026-09-23T09:26:12,RJ,computers_accessories,62.89,1,1
2026-09-23T09:26:12,ES,bed_bath_table,111.48,0,4
2026-09-23T09:26:12,SC,watches_gifts,94.21,0,2
2026-09-23T09:26:13,SC,bed_bath_table,36.97,0,2
2026-09-23T09:26:13,MG,watches_gifts,74.44,0,5
2026-09-23T09:26:13,RJ,bed_bath_table,26.96,0,2
2026-09-23T09:26:13,RS,health_beauty,103.27,0,3
2026-09-23T09:26:13,SP,furniture_decor,51.52,1,1
2026-09-23T09:26:13,DF,health_beauty,58.83,0,4
2026-09-23T09:26:13,ES,bed_bath_table,53.57,0,4
2026-09-23T09:26:13,RJ,health_beauty,70.22,0,3
2026-09-23T09:26:13,RS,health_beauty,53.12,0,3
2026-09-23T09:26:13,RJ,bed_bath_table,25.85,0,5
2026-09-23T09:26:13,ES,health_beauty,98.5,0,4
2026-09-23T09:26:13,RS,watches_gifts,96.52,0,2
2026-09-23T09:26:13,PR,health_beauty,61.16,0,5
2026-09-23T09:26:13,ES,furniture_decor,45.27,0,5
2026-09-23T09:26:13,SC,sports_leisure,66.91,0,5
2026-09-23T09:26:13,MG,furniture_decor,102.84,0,5
2026-09-23T09:26:13,ES,computers_accessories,119.66,0,5
2026-09-23T09:26:13,BA,health_beauty,27.05,0,4
2026-09-23T09:26:13,RS,furniture_decor,38.16,0,2
2026-09-23T09:26:13,GO,watches_gifts,73.56,0,4
2026-09-23T09:26:13,PR,sports_leisure,110.95,0,2
2026-09-23T09:26:13,GO,health_beauty,67.36,1,1
2026-09-23T09:26:13,BA,computers_accessories,43.89,0,5
2026-09-23T09:26:13,DF,furniture_decor,56.28,0,5
2026-09-23T09:26:13,DF,computers_accessories,98.16,1,1
2026-09-23T09:26:13,SP,computers_accessories,94.65,1,1
